"ID",molecule,iso-slug,formula,dataset,Tmax,vmin,vmax,mass,abundance,Main column,Main format,QN label,QN format,HR N lines
1,AlCl,27Al-35Cl,(27Al)(35Cl),YNAT,5000,13557.00214,43527.2052,61.950391,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",101
2,AlCl,27Al-37Cl,(27Al)(37Cl),YNAT,5000,13557.49671,43528.45629,63.947441,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",121
3,AlH,27Al-1H,(27Al)(1H),AloHa,5000,1164.550941,24585.49581,27.989363,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",692
4,AlO,26Al-16O,(26Al)(16O),ATP,9000,1.295955,25714.31951,41.981806,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",143197
5,AlO,27Al-16O,(27Al)(16O),ATP,9000,1.277845,25680.32824,42.976453,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",149577
6,AlO,27Al-17O,(27Al)(17O),ATP,9000,1.230916,25591.01451,43.98067,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",142905
7,AlO,27Al-18O,(27Al)(18O),ATP,9000,1.189182,25510.01051,44.980698,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",142976
8,BeH,9Be-1H,(9Be)(1H),Darby-Lewis,5000,117.396335,25617.8047,10.020008,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",507
9,BeH,9Be-2H,(9Be)(2H),Darby-Lewis,5000,1083.358494,20049.58297,11.026285,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",310
10,C2,12C2,(12C)2,8states,10000,80.585931,39933.484298,24.0,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",445682
11,C2H2,12C2-1H2,(12C)2(1H)2,aCeTY,5000,38.306563,9948.7084,26.01565,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,K,e/f,Grot","%3s,%2d,%1s,%3s",473850
12,C3,12C-12C-13C,(12C)(12C)(13C),AtLast,5000,62.742509,2026.374376,37.003355,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,v1,v2,l2,v3,Gvib,Coef,n1,n2,n3","%3s,%2d,%2d,%2d,%2d,%3s,%5.2f,%2d,%2d,%2d",17
13,C3,12C-13C-12C,(12C)(13C)(12C),AtLast,5000,61.457341,1160.493683,37.003355,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,v1,v2,l2,v3,Gvib,Coef,n1,n2,n3","%3s,%2d,%2d,%2d,%2d,%3s,%5.2f,%2d,%2d,%2d",4
14,C3,12C3,(12C)3,AtLast,5000,56.589983,9611.594317,36.0,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,v1,v2,l2,v3,Gvib,Coef,n1,n2,n3","%3s,%2d,%2d,%2d,%2d,%3s,%5.2f,%2d,%2d,%2d",4772
15,CH4,12C-1H4,(12C)(1H)4,MM,5000,1.112438,9923.357767,40.970416,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,n1,n2,l2,n3,l3,M3,n4,l4,M4,n","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d",7649736
