Frequency,Uncertainty,A,Intensity,Molecule,Isotopologue,Dataset,"E""",g',"g""",J',"J""",QN',"QN"""
    0.400554,    0.000002,9.3492E-10,2.3927E-28,H2O,1H2-16O,POKAZATEL, 1907.615571,    27,    21,      4,      3,  2  3  0  1  0  B1                               ,  3  0  0  1  0  B2                               
    0.741682,    0.000000,1.9604E-09,4.3202E-25,H2O,1H2-16O,POKAZATEL,  446.510665,    39,    33,      6,      5,  1  6  0  0  0  B2                               ,  2  3  0  0  0  B1                               
    0.895095,    0.000003,7.9254E-09,3.8213E-28,H2O,1H2-16O,POKAZATEL, 2129.598921,    33,    27,      5,      4,  3  2  0  1  0  B2                               ,  4  1  0  1  0  B1                               
    3.210931,    0.000002,4.6927E-07,1.7371E-27,H2O,1H2-16O,POKAZATEL, 2126.407583,     9,    11,      4,      5,  4  0  0  1  0  A1                               ,  3  3  0  1  0  A2                               
    4.002629,    0.000003,1.4774E-06,1.5559E-26,H2O,1H2-16O,POKAZATEL, 1739.483705,     5,     7,      2,      3,  2  0  0  1  0  A1                               ,  1  3  0  1  0  A2                               
    4.657033,    0.000033,5.4789E-07,1.3894E-28,H2O,1H2-16O,POKAZATEL, 3080.177656,    87,    93,     14,     15,  6  9  0  0  0  B1                               ,  3 12  0  0  0  B2                               
    6.114566,    0.000001,3.6157E-06,7.5869E-23,H2O,1H2-16O,POKAZATEL,  136.163928,     7,     5,      3,      2,  1  3  0  0  0  A2                               ,  2  0  0  0  0  A1                               
    6.975465,    0.000002,3.4204E-06,1.9084E-27,H2O,1H2-16O,POKAZATEL, 2399.165320,    11,    13,      5,      6,  5  1  0  1  0  A2                               ,  4  2  0  1  0  A1                               
    7.761591,    0.000002,4.6982E-06,7.0808E-27,H2O,1H2-16O,POKAZATEL, 2398.381160,    33,    39,      5,      6,  5  0  0  1  0  B2                               ,  4  3  0  1  0  B1                               
    8.769317,    0.000004,4.0628E-06,8.4480E-29,H2O,1H2-16O,POKAZATEL, 3101.141959,    15,    17,      7,      8,  7  1  0  1  0  A2                               ,  6  2  0  1  0  A1                               
    8.787747,    0.000003,4.0883E-06,2.5451E-28,H2O,1H2-16O,POKAZATEL, 3101.123568,    45,    51,      7,      8,  7  0  0  1  0  B2                               ,  6  3  0  1  0  B1                               
    9.795590,    0.000002,7.1346E-06,2.1005E-27,H2O,1H2-16O,POKAZATEL, 2724.166800,    39,    45,      6,      7,  6  1  0  1  0  B1                               ,  5  2  0  1  0  B2                               
    9.921518,    0.000002,7.4106E-06,7.1825E-28,H2O,1H2-16O,POKAZATEL, 2724.041342,    13,    15,      6,      7,  6  0  0  1  0  A1                               ,  5  3  0  1  0  A2                               
   10.714935,    0.000002,6.1434E-06,2.6769E-24,H2O,1H2-16O,POKAZATEL, 1282.918767,    63,    57,     10,      9,  2  9  0  0  0  B1                               ,  3  6  0  0  0  B2                               
   10.845933,    0.000001,1.1559E-05,8.9780E-23,H2O,1H2-16O,POKAZATEL,  315.779543,    11,     9,      5,      4,  1  5  0  0  0  A2                               ,  2  2  0  0  0  A1                               
   11.045092,    0.000004,3.3195E-05,1.9871E-28,H2O,1H2-16O,POKAZATEL, 3381.704154,    21,    27,      3,      4,  2  1  0  2  0  B1                               ,  1  4  0  2  0  B2                               
   11.215346,    0.000003,1.0584E-05,6.0268E-26,H2O,1H2-16O,POKAZATEL, 2042.753109,    33,    39,      5,      6,  2  3  0  1  0  B1                               ,  1  6  0  1  0  B2                               
   11.309576,    0.000011,7.7529E-06,2.7255E-29,H2O,1H2-16O,POKAZATEL, 3810.933822,    99,   105,     16,     17,  6 11  0  0  0  B1                               ,  3 14  0  0  0  B2                               
   11.835155,    0.000003,9.1397E-06,1.2757E-29,H2O,1H2-16O,POKAZATEL, 4006.071011,   105,    99,     17,     16,  4 13  0  0  0  B1                               ,  7 10  0  0  0  B2                               
   12.682019,    0.000000,3.0459E-05,8.1276E-22,H2O,1H2-16O,POKAZATEL,  212.156362,    27,    21,      4,      3,  1  4  0  0  0  B2                               ,  2  1  0  0  0  B1                               
   13.013832,    0.000030,8.3074E-06,3.0923E-25,H2O,1H2-16O,POKAZATEL, 1525.134907,    21,    23,     10,     11,  3  7  0  0  0  A2                               ,  2 10  0  0  0  A1                               
   13.439767,    0.000003,7.5964E-05,1.3446E-28,H2O,1H2-16O,POKAZATEL, 3722.730860,    39,    33,      6,      5,  2  5  0  2  0  B1                               ,  3  2  0  2  0  B2                               
   13.459064,    0.000008,4.1671E-05,5.3797E-29,H2O,1H2-16O,POKAZATEL, 3482.480018,     9,    11,      4,      5,  2  2  0  2  0  A1                               ,  1  5  0  2  0  A2                               
   14.199454,    0.000003,4.3211E-05,4.7613E-27,H2O,1H2-16O,POKAZATEL, 2905.433138,    51,    45,      8,      7,  5  4  0  1  0  B2                               ,  6  1  0  1  0  B1                               
   14.588314,    0.000004,2.1252E-05,5.0210E-24,H2O,1H2-16O,POKAZATEL, 1045.058261,    15,    13,      7,      6,  5  3  0  0  0  A2                               ,  6  0  0  0  0  A1                               
   14.634268,    0.000004,3.9434E-05,2.2946E-28,H2O,1H2-16O,POKAZATEL, 3306.295262,    19,    17,      9,      8,  6  4  0  1  0  A1                               ,  7  1  0  1  0  A2                               
   14.648494,    0.000008,2.7862E-05,7.2876E-23,H2O,1H2-16O,POKAZATEL,  742.076208,    39,    33,      6,      5,  4  3  0  0  0  B1                               ,  5  0  0  0  0  B2                               
   14.701471,    0.000004,4.8011E-05,1.7012E-27,H2O,1H2-16O,POKAZATEL, 2905.430297,    17,    15,      8,      7,  5  3  0  1  0  A2                               ,  6  2  0  1  0  A1                               
   14.718135,    0.000004,4.0122E-05,6.9626E-28,H2O,1H2-16O,POKAZATEL, 3306.295012,    57,    51,      9,      8,  6  3  0  1  0  B1                               ,  7  2  0  1  0  B2                               
   14.777502,    0.000004,2.2098E-05,1.5455E-23,H2O,1H2-16O,POKAZATEL, 1045.057796,    45,    39,      7,      6,  5  2  0  0  0  B2                               ,  6  1  0  0  0  B1                               
   14.943707,    0.000002,5.3945E-05,8.5507E-22,H2O,1H2-16O,POKAZATEL,  285.418579,    27,    21,      4,      3,  2  3  0  0  0  B1                               ,  3  0  0  0  0  B2                               
