id,filename,molecule,molhtml,moltag,molname,molmass,isoslug,isoformula,isohtml,isohtml,isotag,isohtml,isohtml,isomass,dataset
1,AlCl__27Al-35Cl__YNAT__(27Al)(35Cl).csv,AlCl,AlCl,alcl,Aluminum monochloride,62.431538,27Al-35Cl,(27Al)(35Cl),<sup>27</sup>Al<sup>35</sup>Cl,<sup>27</sup>Al<sup>35</sup>Cl,27al35cl,<sup>27</sup>Al<sup>35</sup>Cl,<sup>27</sup>Al<sup>35</sup>Cl,61.950391,YNAT
2,AlCl__27Al-37Cl__YNAT__(27Al)(37Cl).csv,AlCl,AlCl,alcl,Aluminum monochloride,62.431538,27Al-37Cl,(27Al)(37Cl),<sup>27</sup>Al<sup>37</sup>Cl,<sup>27</sup>Al<sup>37</sup>Cl,27al37cl,<sup>27</sup>Al<sup>37</sup>Cl,<sup>27</sup>Al<sup>37</sup>Cl,63.947441,YNAT
3,AlH__27Al-1H__AloHa__(27Al)(1H).csv,AlH,AlH,alh,Aluminum hydride,27.989538,27Al-1H,(27Al)(1H),<sup>27</sup>Al<sup>1</sup>H,<sup>27</sup>Al<sup>1</sup>H,27al1h,<sup>27</sup>Al<sup>1</sup>H,<sup>27</sup>Al<sup>1</sup>H,27.989363,AloHa
4,AlO__26Al-16O__ATP__(26Al)(16O).csv,AlO,AlO,alo,Aluminum monoxide,42.980538,26Al-16O,(26Al)(16O),<sup>26</sup>Al<sup>16</sup>O,<sup>26</sup>Al<sup>16</sup>O,26al16o,<sup>26</sup>Al<sup>16</sup>O,<sup>26</sup>Al<sup>16</sup>O,41.981806,ATP
5,AlO__27Al-16O__ATP__(27Al)(16O).csv,AlO,AlO,alo,Aluminum monoxide,42.980538,27Al-16O,(27Al)(16O),<sup>27</sup>Al<sup>16</sup>O,<sup>27</sup>Al<sup>16</sup>O,27al16o,<sup>27</sup>Al<sup>16</sup>O,<sup>27</sup>Al<sup>16</sup>O,42.976453,ATP
6,AlO__27Al-17O__ATP__(27Al)(17O).csv,AlO,AlO,alo,Aluminum monoxide,42.980538,27Al-17O,(27Al)(17O),<sup>27</sup>Al<sup>17</sup>O,<sup>27</sup>Al<sup>17</sup>O,27al17o,<sup>27</sup>Al<sup>17</sup>O,<sup>27</sup>Al<sup>17</sup>O,43.980670,ATP
7,AlO__27Al-18O__ATP__(27Al)(18O).csv,AlO,AlO,alo,Aluminum monoxide,42.980538,27Al-18O,(27Al)(18O),<sup>27</sup>Al<sup>18</sup>O,<sup>27</sup>Al<sup>18</sup>O,27al18o,<sup>27</sup>Al<sup>18</sup>O,<sup>27</sup>Al<sup>18</sup>O,44.980698,ATP
8,C2__12C2__8states__(12C)2.csv,C2,C<sub>2</sub>,c2,Dicarbon,24.022000,12C2,(12C)2,<sup>12</sup>C<sub>2</sub>,<sup>12</sup>C<sub>2</sub>,12c2,<sup>12</sup>C<sub>2</sub>,<sup>12</sup>C<sub>2</sub>,24.000000,8states
9,C2H2__12C2-1H2__aCeTY__(12C)2(1H)2.csv,C2H2,C<sub>2</sub>H<sub>2</sub>,c2h2,Acetylene,26.038000,12C2-1H2,(12C)2(1H)2,<sup>12</sup>C<sub>2</sub><sup>1</sup>H<sub>2</sub>,<sup>12</sup>C<sub>2</sub><sup>1</sup>H<sub>2</sub>,12c21h2,<sup>12</sup>C<sub>2</sub><sup>1</sup>H<sub>2</sub>,<sup>12</sup>C<sub>2</sub><sup>1</sup>H<sub>2</sub>,26.015650,aCeTY
10,CaH__40Ca-1H__XAB__(40Ca)(1H).csv,CaH,CaH,cah,Calcium monohydride,41.086000,40Ca-1H,(40Ca)(1H),<sup>40</sup>Ca<sup>1</sup>H,<sup>40</sup>Ca<sup>1</sup>H,40ca1h,<sup>40</sup>Ca<sup>1</sup>H,<sup>40</sup>Ca<sup>1</sup>H,40.970416,XAB
