id,molecule,molhtml,molname,isoslug,isoformula,isotag,isomass,dataset,filename
1,AlCl,AlCl,Aluminum monochloride,27Al-35Cl,(27Al)(35Cl),27al35cl,61.950391,YNAT,AlCl__27Al-35Cl__YNAT__(27Al)(35Cl).csv
2,AlCl,AlCl,Aluminum monochloride,27Al-37Cl,(27Al)(37Cl),27al37cl,63.947441,YNAT,AlCl__27Al-37Cl__YNAT__(27Al)(37Cl).csv
3,AlH,AlH,Aluminum hydride,27Al-1H,(27Al)(1H),27al1h,27.989363,AloHa,AlH__27Al-1H__AloHa__(27Al)(1H).csv
4,AlH,AlH,Aluminum hydride,27Al-2H,(27Al)(2H),27al2h,28.995640,AloHa,AlH__27Al-2H__AloHa__(27Al)(2H).csv
5,AlO,AlO,Aluminum monoxide,26Al-16O,(26Al)(16O),26al16o,41.981806,ATP,AlO__26Al-16O__ATP__(26Al)(16O).csv
6,AlO,AlO,Aluminum monoxide,27Al-16O,(27Al)(16O),27al16o,42.976453,ATP,AlO__27Al-16O__ATP__(27Al)(16O).csv
7,AlO,AlO,Aluminum monoxide,27Al-17O,(27Al)(17O),27al17o,43.980670,ATP,AlO__27Al-17O__ATP__(27Al)(17O).csv
8,AlO,AlO,Aluminum monoxide,27Al-18O,(27Al)(18O),27al18o,44.980698,ATP,AlO__27Al-18O__ATP__(27Al)(18O).csv
9,C2,C<sub>2</sub>,Dicarbon,12C2,(12C)2,12c2,24.000000,8states,C2__12C2__8states__(12C)2.csv
10,C2H2,C<sub>2</sub>H<sub>2</sub>,Acetylene,12C2-1H2,(12C)2(1H)2,12c21h2,26.015650,aCeTY,C2H2__12C2-1H2__aCeTY__(12C)2(1H)2.csv
11,CaH,CaH,Calcium monohydride,40Ca-1H,(40Ca)(1H),40ca1h,40.970416,XAB,CaH__40Ca-1H__XAB__(40Ca)(1H).csv
12,CN,CN,Cyano radical,12C-14N,(12C)(14N),12c14n,26.003074,Trihybrid,CN__12C-14N__Trihybrid__(12C)(14N).csv
13,CO2,CO<sub>2</sub>,Carbon dioxide,12C-16O2,(12C)(16O)2,12c16o2,43.989829,UCL-4000,CO2__12C-16O2__UCL-4000__(12C)(16O)2.csv
14,H2CO,H<sub>2</sub>CO,Formaldehyde,1H2-12C-16O,(1H)2(12C)(16O),1h212c16o,30.010565,AYTY,H2CO__1H2-12C-16O__AYTY__(1H)2(12C)(16O).csv
15,H2O,H<sub>2</sub>O,Water,1H2-16O,(1H)2(16O),1h216o,18.010565,POKAZATEL,H2O__1H2-16O__POKAZATEL__(1H)2(16O).csv
16,H2S,H<sub>2</sub>S,Hydrogen sulfide,1H2-32S,(1H)2(32S),1h232s,33.987721,AYT2,H2S__1H2-32S__AYT2__(1H)2(32S).csv
17,H3+,H<sub>3</sub><sup>+</sup>,Trihydrogen cation,1H2-2H+,(1H)2(2H)+,1h22h+,4.029752,ST,H3_p__1H2-2H_p__ST__(1H)2(2H)+.csv
18,H3+,H<sub>3</sub><sup>+</sup>,Trihydrogen cation,1H3+,(1H)3+,1h3+,3.023475,MiZATeP,H3_p__1H3_p__MiZATeP__(1H)3+.csv
19,H3+,H<sub>3</sub><sup>+</sup>,Trihydrogen cation,2H2-1H+,(2H)2(1H)+,2h21h+,5.036029,MiZo,H3_p__2H2-1H_p__MiZo__(2H)2(1H)+.csv
20,H3+,H<sub>3</sub><sup>+</sup>,Trihydrogen cation,2H3+,(2H)3+,2h3+,6.042305,MiZo,H3_p__2H3_p__MiZo__(2H)3+.csv
21,H3O+,H<sub>3</sub>O<sup>+</sup>,Hydronium cation,1H3-16O+,(1H)3(16O)+,1h316o+,19.018390,eXeL,H3O_p__1H3-16O_p__eXeL__(1H)3(16O)+.csv
22,LiOH,LiOH,Lithium hydroxide,6Li-16O-1H,(6Li)(16O)(1H),6li16o1h,23.017863,OYT7,LiOH__6Li-16O-1H__OYT7__(6Li)(16O)(1H).csv
23,LiOH,LiOH,Lithium hydroxide,7Li-16O-1H,(7Li)(16O)(1H),7li16o1h,24.018743,OYT7,LiOH__7Li-16O-1H__OYT7__(7Li)(16O)(1H).csv
24,MgH,MgH,Magnesium monohydride,24Mg-1H,(24Mg)(1H),24mg1h,24.992867,XAB,MgH__24Mg-1H__XAB__(24Mg)(1H).csv
25,MgH,MgH,Magnesium monohydride,25Mg-1H,(25Mg)(1H),25mg1h,25.993662,XAB,MgH__25Mg-1H__XAB__(25Mg)(1H).csv
26,MgH,MgH,Magnesium monohydride,26Mg-1H,(26Mg)(1H),26mg1h,26.990418,XAB,MgH__26Mg-1H__XAB__(26Mg)(1H).csv
27,NaO,NaO,Sodium oxide,23Na-16O,(23Na)(16O),23na16o,38.984684,NaOUCMe,NaO__23Na-16O__NaOUCMe__(23Na)(16O).csv
28,NH,NH,Imidogen,14N-1H,(14N)(1H),14n1h,15.010899,kNigHt,NH__14N-1H__kNigHt__(14N)(1H).csv
29,NH,NH,Imidogen,14N-2H,(14N)(2H),14n2h,16.017176,kNigHt,NH__14N-2H__kNigHt__(14N)(2H).csv
30,NH,NH,Imidogen,15N-1H,(15N)(1H),15n1h,16.007934,kNigHt,NH__15N-1H__kNigHt__(15N)(1H).csv
31,NH,NH,Imidogen,15N-2H,(15N)(2H),15n2h,17.014211,kNigHt,NH__15N-2H__kNigHt__(15N)(2H).csv
32,NH3,NH<sub>3</sub>,Ammonia,14N-1H3,(14N)(1H)3,14n1h3,17.026549,CoYuTe,NH3__14N-1H3__CoYuTe__(14N)(1H)3.csv
33,NO,NO,Nitric oxide,14N-16O,(14N)(16O),14n16o,29.997989,XABC,NO__14N-16O__XABC__(14N)(16O).csv
34,SiN,SiN,Silicon nitride,28Si-14N,(28Si)(14N),28si14n,41.980001,SiNfull,SiN__28Si-14N__SiNfull__(28Si)(14N).csv
35,SiN,SiN,Silicon nitride,28Si-15N,(28Si)(15N),28si15n,42.977035,SiNfull,SiN__28Si-15N__SiNfull__(28Si)(15N).csv
36,SiN,SiN,Silicon nitride,29Si-14N,(29Si)(14N),29si14n,42.979569,SiNfull,SiN__29Si-14N__SiNfull__(29Si)(14N).csv
37,SiN,SiN,Silicon nitride,30Si-14N,(30Si)(14N),30si14n,43.976844,SiNfull,SiN__30Si-14N__SiNfull__(30Si)(14N).csv
38,SiO,SiO,Silicon monoxide,28Si-16O,(28Si)(16O),28si16o,43.971841,SiOUVenIR,SiO__28Si-16O__SiOUVenIR__(28Si)(16O).csv
39,SO,SO,Sulfur monoxide,32S-16O,(32S)(16O),32s16o,47.966986,SOLIS,SO__32S-16O__SOLIS__(32S)(16O).csv
40,SO2,SO<sub>2</sub>,Sulfur dioxide,32S-16O2,(32S)(16O)2,32s16o2,63.961900,ExoAmes,SO2__32S-16O2__ExoAmes__(32S)(16O)2.csv
41,TiO,TiO,Titanium oxide,46Ti-16O,(46Ti)(16O),46ti16o,61.947541,Toto,TiO__46Ti-16O__Toto__(46Ti)(16O).csv
42,TiO,TiO,Titanium oxide,47Ti-16O,(47Ti)(16O),47ti16o,62.946672,Toto,TiO__47Ti-16O__Toto__(47Ti)(16O).csv
