molid,molecule,molhtml,moltag,molname,molmass
1,AlCl,AlCl,alcl,Aluminum monochloride,62.431538
2,AlH,AlH,alh,Aluminum hydride,27.989538
3,AlO,AlO,alo,Aluminum monoxide,42.980538
4,C2,C<sub>2</sub>,c2,Dicarbon,24.022000
5,C2H2,C<sub>2</sub>H<sub>2</sub>,c2h2,Acetylene,26.038000
6,CaH,CaH,cah,Calcium monohydride,41.086000
7,CN,CN,cn,Cyano radical,26.018000
8,CO2,CO<sub>2</sub>,co2,Carbon dioxide,44.009000
9,H2CO,H<sub>2</sub>CO,h2co,Formaldehyde,30.026000
10,H2O,H<sub>2</sub>O,h2o,Water,18.015000
11,H2S,H<sub>2</sub>S,h2s,Hydrogen sulfide,34.076000
12,H3+,H<sub>3</sub><sup>+</sup>,h3+,Trihydrogen cation,3.024000
13,H3O+,H<sub>3</sub>O<sup>+</sup>,h3o+,Hydronium cation,19.023000
14,LiOH,LiOH,lioh,Lithium hydroxide,23.947000
15,MgH,MgH,mgh,Magnesium monohydride,25.313000
16,NH,NH,nh,Imidogen,15.015000
17,NH3,NH<sub>3</sub>,nh3,Ammonia,17.031000
18,NO,NO,no,Nitric oxide,30.006000
19,SiN,SiN,sin,Silicon nitride,42.092000
20,SiO,SiO,sio,Silicon monoxide,44.084000
21,SO,SO,so,Sulfur monoxide,48.059000
22,SO2,SO<sub>2</sub>,so2,Sulfur dioxide,64.058000
23,TiO,TiO,tio,Titanium oxide,63.866000
24,YO,YO,yo,Yttrium monoxide,104.904840
25,ZrO,ZrO,zro,Zirconium oxide,107.223000
