ID,molecule,iso-slug,formula,dataset,abundance,Main column,Main format,QN label,QN format,ExoMol date,N states,N trans file,N trans,trans size readable,trans size bytes
1,AlCl,27Al-35Cl,(27Al)(35Cl),YNAT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20221231,65869,1,4722048,47.5 MB,49769377
2,AlCl,27Al-37Cl,(27Al)(37Cl),YNAT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20221231,67507,1,5748704,57.7 MB,60463937
3,AlH,27Al-1H,(27Al)(1H),AloHa,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20240307,1364,1,29725,152.9 KB,156544
4,AlH,27Al-2H,(27Al)(2H),AloHa,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20240307,50531,1,36363,398.5 KB,408109
5,AlO,26Al-16O,(26Al)(16O),ATP,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20210622,93350,1,4866540,53.6 MB,56172346
6,AlO,27Al-16O,(27Al)(16O),ATP,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20210622,94862,1,4945580,31.1 MB,32616593
7,AlO,27Al-17O,(27Al)(17O),ATP,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20210622,96350,1,5148996,56.7 MB,59403349
8,AlO,27Al-18O,(27Al)(18O),ATP,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20210622,98269,1,5365592,59.1 MB,61928433
9,BeH,9Be-1H,(9Be)(1H),Darby-Lewis,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20251028,14950,1,592308,6.1 MB,6412053
10,BeH,9Be-2H,(9Be)(2H),Darby-Lewis,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20251028,14950,1,689466,7.2 MB,7557043
11,BeH,9Be-3H,(9Be)(3H),Darby-Lewis,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20251028,14950,1,760577,8.0 MB,8421817
12,C2,12C2,(12C)2,8states,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20200628,44189,1,6080920,68.7 MB,72033348
13,C2H2,12C2-1H2,(12C)2(1H)2,aCeTY,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,K,e/f,Grot","%3s,%2d,%1s,%3s",20220918,5160803,100,4347381911,96.1 GB,103191766666
14,C3,12C-12C-13C,(12C)(12C)(13C),AtLast,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,v1,v2,l2,v3,Gvib,Coef,n1,n2,n3","%3s,%2d,%2d,%2d,%2d,%3s,%5.2f,%2d,%2d,%2d",20241023,2442205,12,14503868150,135.9 GB,145896987190
15,C3,12C-13C-12C,(12C)(13C)(12C),AtLast,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,v1,v2,l2,v3,Gvib,Coef,n1,n2,n3","%3s,%2d,%2d,%2d,%2d,%3s,%5.2f,%2d,%2d,%2d",20241023,2282841,12,6071530477,64.5 GB,69230564873
16,C3,12C3,(12C)3,AtLast,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,v1,v2,l2,v3,Gvib,Coef,n1,n2,n3","%3s,%2d,%2d,%2d,%2d,%3s,%5.2f,%2d,%2d,%2d",20241023,2166503,12,5481690507,58.0 GB,62324235116
17,CH4,12C-1H4,(12C)(1H)4,MM,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,n1,n2,l2,n3,l3,M3,n4,l4,M4,n","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d",20240113,9155208,120,50395644806,439.0 GB,471392364097
18,CH_p,12C-1H_p,(12C)(1H)+,PYT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20231219,1505,1,34194,388.6 KB,397926
19,CH_p,13C-1H_p,(13C)(1H)+,PYT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",20231219,1519,1,42387,476.6 KB,488043
20,CN,12C-14N,(12C)(14N),KTPSYT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20241119,28004,1,2285103,56.1 MB,58838508
21,CN,12C-15N,(12C)(15N),KTPSYT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20241119,28004,1,2285103,58.6 MB,61419314
22,CN,13C-14N,(13C)(14N),KTPSYT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20241119,28004,1,2285103,59.4 MB,62259266
23,CN,13C-15N,(13C)(15N),KTPSYT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20241119,28004,1,2285103,62.1 MB,65095441
24,CO2,12C-16O2,(12C)(16O)2,UCL-4000,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,e/f,n1,n2,l2,n3,m1,m2,m3,m4,m5","%3s,%1s,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d",20200630,3480477,20,2557549946,21.7 GB,23255332041
25,CaCl,40Ca-35Cl,(40Ca)(35Cl),MoLLIST-CaCl,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Omega,F,N","%1s,%1s,%12s,%3d,%5.1f,%2d,%5d",20240720,9060,1,46171,468.7 KB,479998
26,CaCl,40Ca-37Cl,(40Ca)(37Cl),MoLLIST-CaCl,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Omega,F,N","%1s,%1s,%12s,%3d,%5.1f,%2d,%5d",20240720,9090,1,41794,422.4 KB,432560
27,CaH,40Ca-1H,(40Ca)(1H),XAB,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20220211,6825,1,293151,2.3 MB,2454920
28,CaOH,40Ca-16O-1H,(40Ca)(16O)(1H),OYT6,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,N,ElecState,L,v1,v2,l2,v3,Omega,F1/F2/F3","%1s,%1s,%5d,%12s,%3d,%2d,%2d,%2d,%2d,%5.1f,%2s",20251028,3187522,18,23384729495,202.0 GB,216923691047
29,H2CO,1H2-12C-16O,(1H)2(12C)(16O),AYTY,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,v1,v2,v3,v4,v5,v6,Ka,Kb","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d",20230430,10297025,100,12688112669,111.1 GB,119266377509
30,H2CS,1H2-12C-32S,(1H)2(12C)(32S),MOTY,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,v1,v2,v3,v4,v5,v6,Ka,Kc","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d",20251028,52292454,8,43561116660,399.5 GB,428935413309
